archetype,outfit_key,prompt
young woman,casual,"A fitted ribbed tank in soft ivory paired with high-waisted light-wash jeans, and hair styled in loose waves."
young woman,casual,"A breezy floral sundress in muted coral with a softly cinched waist, and hair styled in a half-up twist."
young woman,casual,"A lightweight short-sleeve blouse in pale blue tucked into a flowy A-line skirt, and hair pulled into a low ponytail."
young woman,casual,"A cropped knit cardigan in warm taupe layered over a satin cami and straight-leg jeans, and hair gathered into a low bun."
young woman,casual,"A relaxed wrap-style dress in sage green with subtle texture, and hair styled in soft curls."
young woman,casual,"A clean scoop-neck tee in muted lavender paired with a high-waisted denim skirt, and hair styled in a ponytail."
young woman,casual,"A silky short-sleeve blouse in champagne tones paired with slim black jeans, and hair styled in a half-up ponytail."
young woman,casual,"A pleated midi skirt in dusty rose paired with a fitted knit top, and hair styled in loose curls."
young woman,casual,"A casual shirt dress in pale chambray tones with rolled sleeves, and hair styled in a messy bun."
young woman,casual,"A cropped sweater in soft oatmeal paired with relaxed-fit jeans, and hair styled in a braided ponytail."
young woman,casual,"A fitted knit tank in muted teal paired with a casual skater skirt, and hair styled in a low ponytail."
young woman,casual,"A lightweight open-front cardigan in pale gray layered over a fitted tee and jeans, and hair styled in soft waves."
young woman,casual,"A breezy sundress in soft butter yellow with gentle pleating, and hair styled in a half-up bun."
young woman,casual,"A casual button-up blouse in muted peach tucked into a high-waisted skirt, and hair styled in a low bun."
young woman,casual,"A relaxed cropped tee in soft cream paired with straight-leg jeans, and hair styled in a messy ponytail."
young woman,casual,"A soft knit dress in muted periwinkle with an easy silhouette, and hair styled in loose waves."
young woman,casual,"A fitted tank top in warm caramel paired with a flowy midi skirt, and hair styled in a braided bun."
young woman,casual,"A casual long-sleeve blouse in pale sage paired with classic blue jeans, and hair styled in a ponytail."
young woman,casual,"A lightweight wrap skirt in muted lavender paired with a fitted ribbed top, and hair styled in loose curls."
young woman,casual,"A relaxed pullover sweater in soft blush paired with mid-rise jeans, and hair styled in a low bun."
young woman,casual,"A casual short-sleeve dress in dusty sky blue with gentle drape, and hair styled in a half-up twist."
young woman,casual,"A fitted ribbed tee in muted olive paired with a high-waisted denim skirt, and hair styled in soft waves."
young woman,casual,"A cropped cardigan in pale blue layered over a fitted tank and dark-wash jeans, and hair styled in a messy bun."
young woman,casual,"A flowy floral skirt paired with a casual knit top in warm neutrals, and hair styled in a ponytail."
young woman,casual,"A relaxed linen-blend dress in warm sand tones with subtle seam details, and hair styled in loose curls."
young woman,casual,"A casual blouse in soft almond tones paired with straight-leg jeans, and hair styled in a half-up ponytail."
young woman,casual,"A fitted scoop-neck top in muted coral paired with a pleated midi skirt, and hair styled in a low ponytail."
young woman,casual,"A cropped knit sweater in light gray paired with relaxed denim, and hair styled in soft waves."
young woman,casual,"A casual wrap dress in muted teal with a softly defined waist, and hair styled in a low bun."
young woman,casual,"A lightweight short-sleeve blouse in pale ivory paired with a casual A-line skirt, and hair styled in a braided ponytail."
young woman,casual,"A relaxed cotton tee in soft rose paired with high-waisted jeans, and hair styled in a messy bun."
young woman,casual,"A soft jersey dress in muted sage with gentle shaping, and hair styled in loose waves."
young woman,casual,"A cropped knit tank in warm terracotta paired with a flowy skirt, and hair styled in a ponytail."
young woman,casual,"A casual button-front blouse in pale blue paired with classic denim jeans, and hair styled in a half-up twist."
young woman,casual,"A lightweight cardigan in muted lilac layered over a fitted dress, and hair styled in soft curls."
young woman,casual,"A relaxed short-sleeve blouse in soft peach paired with tapered trousers in stone gray, and hair styled in a low bun."
young woman,casual,"A casual sundress in muted coral with a softly flared shape, and hair styled in a half-up bun."
young woman,casual,"A fitted ribbed tank in soft mint paired with a high-waisted skirt, and hair styled in loose waves."
young woman,casual,"A cropped sweatshirt in pale gray paired with straight-leg jeans, and hair styled in a ponytail."
young woman,casual,"A breezy midi dress in warm neutral tones with subtle patterning, and hair styled in a low ponytail."
young woman,casual,"A casual knit top in soft cream paired with a pleated skirt, and hair styled in loose curls."
young woman,casual,"A relaxed blouse in muted blue tucked into high-waisted jeans, and hair styled in a messy bun."
young woman,casual,"A soft wrap skirt in dusty rose paired with a fitted knit top, and hair styled in soft waves."
young woman,casual,"A cropped cardigan in warm taupe layered over a ribbed tank and jeans, and hair styled in a braided ponytail."
young woman,casual,"A casual short-sleeve dress in pale sage with gentle draping, and hair styled in a low bun."
young woman,casual,"A fitted scoop-neck tee in soft ivory paired with relaxed denim, and hair styled in loose curls."
young woman,casual,"A lightweight blouse in muted lilac paired with a flowing skirt, and hair styled in a ponytail."
young woman,casual,"A relaxed knit pullover in soft oatmeal paired with classic blue jeans, and hair styled in a half-up ponytail."
young woman,casual,"A fitted knit top in dusty teal paired with a casual midi skirt, and hair styled in loose waves."
young woman,casual,"A breezy short-sleeve dress in warm blush tones, and hair styled in a messy bun."
young woman,casual,"A cropped sweater in pale cream layered over a fitted cami and high-waisted jeans, and hair styled in soft curls."
young woman,casual,"A casual pleated skirt in soft sage paired with a ribbed tank, and hair styled in a low ponytail."
young woman,casual,"A relaxed cotton dress in muted lavender with a softly cinched waist, and hair styled in loose waves."
young woman,casual,"A casual short-sleeve blouse in warm beige paired with straight-leg jeans, and hair styled in a braided bun."
young woman,casual,"A fitted ribbed top in muted plum paired with a flowy A-line skirt, and hair styled in a ponytail."
young woman,casual,"A lightweight open cardigan in pale blue layered over a fitted tee and denim skirt, and hair styled in a half-up twist."
young woman,casual,"A casual sundress in soft mint with gentle texture, and hair styled in loose curls."
young woman,casual,"A relaxed cropped tee in warm sand tones paired with high-waisted jeans, and hair styled in a low bun."
young woman,casual,"A soft knit dress in muted peach with an easy silhouette, and hair styled in soft waves."
young woman,casual,"A casual blouse in pale ivory tucked into a pleated midi skirt, and hair styled in a messy ponytail."
young woman,casual,"A fitted ribbed tank in pale coral paired with light-wash jeans, and hair styled in loose curls."
young woman,casual,"A airy floral maxi skirt paired with a simple knit tee, and hair styled in a ponytail."
young woman,casual,"A satin cami in soft gold layered under a lightweight cardigan with tailored ankle trousers, and hair styled in a low bun."
young woman,casual,"A relaxed short-sleeve tee in muted teal paired with denim shorts, and hair styled in soft waves."
young woman,casual,"A fitted blouse in creamy ivory tucked into a casual wrap skirt, and hair styled in a half-up bun."
young woman,casual,"A breezy cap-sleeve dress in dusty peach with subtle gathers, and hair styled in a ponytail."
young woman,casual,"A casual knit sweater in soft stone gray paired with classic jeans, and hair styled in a messy bun."
young woman,casual,"A relaxed wrap skirt in pale blue paired with a fitted ribbed tee, and hair styled in loose curls."
young woman,casual,"A cropped knit top in warm marigold paired with tailored trousers in cocoa brown, and hair styled in soft waves."
young woman,casual,"A casual button-down blouse in muted olive tucked into an A-line skirt, and hair styled in a low ponytail."
young woman,casual,"A fitted scoop-neck tee in dusty rose paired with straight-leg jeans, and hair styled in a braided ponytail."
young woman,casual,"A soft jersey midi dress in pale lemon with a relaxed fit, and hair styled in a low bun."
young woman,casual,"A cropped knit sweater in light teal layered over a fitted tee and relaxed trousers, and hair styled in a half-up twist."
young woman,casual,"A casual short-sleeve blouse in muted apricot paired with high-waisted jeans, and hair styled in loose curls."
young woman,casual,"A breezy midi skirt in subtle stripes paired with a clean tank top, and hair styled in a ponytail."
young woman,casual,"A relaxed knit dress in warm beige with a defined waistband, and hair styled in soft waves."
young woman,casual,"A fitted ribbed tank in soft blue paired with classic denim jeans, and hair styled in a messy bun."
young woman,casual,"A casual pleated midi skirt in soft gray paired with a pop-color knit top in berry tones, and hair styled in a low ponytail."
young woman,casual,"A cropped cardigan in muted rose layered over a simple blouse and tapered trousers, and hair styled in a braided bun."
young woman,casual,"A relaxed short-sleeve dress in pale mint with minimalist trims, and hair styled in a half-up bun."
young woman,casual,"A fitted knit tee in warm caramel paired with straight-leg jeans, and hair styled in loose waves."
young woman,casual,"A light wrap dress in a subtle floral print with a tied waist, and hair styled in soft curls."
young woman,casual,"A casual linen blouse in dusty cream tucked into a flowy skirt, and hair styled in a ponytail."
young woman,casual,"A cropped knit tank in muted lilac paired with denim shorts, and hair styled in a messy bun."
young woman,casual,"A soft knit pullover in pale mint paired with tailored shorts in stone gray, and hair styled in loose waves."
young woman,casual,"A breezy shirt dress in neutral beige with a fabric belt, and hair styled in a low ponytail."
young woman,casual,"A casual short-sleeve tee in soft sand paired with dark-wash jeans, and hair styled in a half-up twist."
young woman,casual,"A fitted blouse in blush pink tucked into an A-line skirt in charcoal, and hair styled in soft curls."
young woman,casual,"A relaxed wrap skirt in warm taupe paired with a ribbed knit top in cream, and hair styled in a low bun."
young woman,casual,"A casual knit dress in light gray with gentle gathers at the waist, and hair styled in loose curls."
young woman,casual,"A sweetheart-neckline knit top in soft ivory paired with a pleated skirt in dusty blue, and hair styled in a ponytail."
young woman,casual,"A draped camisole in muted teal paired with wide-leg trousers in warm beige, and hair styled in a low bun."
young woman,casual,"A casual smocked sundress in pale coral with flutter sleeves, and hair styled in soft waves."
young woman,casual,"A fitted mock-neck knit top in cocoa brown paired with a flowy midi skirt, and hair styled in a half-up bun."
young woman,casual,"A relaxed off-shoulder knit top in soft gray paired with light-wash jeans, and hair styled in loose curls."
young woman,casual,"A casual tiered skirt in sage green paired with a fitted tee in cream, and hair styled in a braided ponytail."
young woman,casual,"A button-front blouse in pale lavender paired with denim shorts, and hair styled in a messy bun."
young woman,casual,"A simple black camisole layered under a sheer cardigan with tailored trousers, and hair styled in a low ponytail."
young woman,casual,"A casual ribbed tank in soft mint paired with a printed midi skirt, and hair styled in soft waves."
young woman,casual,"A relaxed knit dress in dusty rose with a gentle V-neck, and hair styled in a low bun."
young woman,casual,"A fitted tee in muted navy tucked into a high-waisted skirt with subtle texture, and hair styled in a ponytail."
young woman,casual,"A flutter-sleeve blouse in soft cream paired with straight-leg jeans, and hair styled in loose waves."
young woman,casual,"A casual wrap skirt in muted plum paired with a ribbed tank in ivory, and hair styled in a half-up twist."
young woman,casual,"A breezy babydoll-style dress in pale blue with soft gathers, and hair styled in a messy bun."
young woman,casual,"A cropped cardigan in soft gray layered over a satin cami and denim shorts, and hair styled in soft curls."
young woman,casual,"A fitted knit top in muted coral paired with a flowy skirt in warm neutrals, and hair styled in a low ponytail."
young woman,casual,"A relaxed linen button-up in pale sand worn over a fitted tank with jeans, and hair styled in a braided bun."
young woman,casual,"A casual midi dress in sage with a square neckline, and hair styled in loose waves."
young woman,casual,"A sleeveless blouse in dusty lavender paired with tailored trousers in charcoal, and hair styled in a ponytail."
young woman,casual,"A casual A-line skirt in soft cream paired with a fitted tee in muted teal, and hair styled in a low bun."
young woman,casual,"A soft peplum-style blouse in pale blush paired with straight-leg jeans, and hair styled in loose curls."
young woman,casual,"A casual slip-style midi dress in muted olive layered over a fitted tee, and hair styled in a half-up bun."
young woman,casual,"A fitted ribbed tank in warm caramel paired with a denim skirt, and hair styled in a ponytail."
young woman,casual,"A relaxed knit top in pale blue paired with a pleated midi skirt in gray, and hair styled in soft waves."
young woman,casual,"A casual wrap dress in dusty mauve with a tie detail, and hair styled in a low ponytail."
young woman,casual,"A cropped crewneck sweatshirt in muted sage paired with a flowy skirt, and hair styled in a messy bun."
young woman,casual,"A relaxed blouse in cream with subtle pintucks paired with tailored shorts, and hair styled in loose curls."
young woman,casual,"A fitted tee in soft ivory paired with denim shorts and a lightweight cardigan, and hair styled in a low bun."
young woman,casual,"A casual pleated skirt in muted teal paired with a cropped knit top, and hair styled in a braided ponytail."
young woman,casual,"A soft knit dress in pale gray-blue with a relaxed waist, and hair styled in soft waves."
young woman,casual,"A ruffle-trim blouse in pale peach tucked into a high-waisted skirt in charcoal, and hair styled in a ponytail."
young woman,casual,"A casual striped knit top in cream and navy paired with straight-leg jeans, and hair styled in loose curls."
young woman,casual,"A breezy sundress in soft lilac with a subtle gathered bodice, and hair styled in a low bun."
