prompt
"A classic Japanese school uniform with a fitted black gakuran jacket and gold-tone buttons, paired with straight charcoal uniform slacks."
"A navy school-uniform blazer with clean lines worn over a crisp white shirt, matched with navy tailored uniform trousers."
"A charcoal gakuran-style school top with a structured collar and matte silver buttons, paired with black uniform slacks."
"A dark-gray school uniform blazer over a white dress shirt and slim navy tie, paired with matching gray trousers."
"A traditional black school-uniform gakuran with polished buttons, worn with charcoal straight-leg uniform pants."
"A navy school blazer with subtle shoulder structure worn over a neat white shirt, matched with pressed navy uniform trousers."
"A fitted black school-uniform gakuran top with smooth gold buttons, paired with dark-gray trousers."
"A charcoal school blazer with a crisp collar framing a white shirt, worn with matching charcoal trousers."
"A classic black gakuran-style school uniform with structured seams, matched with gray tailored uniform slacks."
"A navy school-uniform blazer and white shirt combination, paired with slim-cut navy trousers."
"A black gakuran jacket with a clean stand collar and subtle matte buttons, worn with charcoal uniform pants."
"A structured dark-gray school blazer with a tidy lapel, paired with black uniform slacks."
"A fitted black school-uniform gakuran with crisp front closure, matched with deep-gray uniform trousers."
"A navy blazer-style school uniform with a white shirt layered beneath, paired with clean straight navy trousers."
"A traditional black school gakuran top with gold-tone fasteners, worn with charcoal slacks pressed neatly."
"A charcoal school blazer with subtle structure at the shoulders, paired with matching gray uniform trousers."
"A black school-uniform gakuran with smooth matte buttons, worn with dark-gray straight-leg trousers."
"A navy school blazer with minimal detailing over a white shirt, paired with tailored navy pants."
"A fitted charcoal gakuran uniform top with a slim high collar, matched with black uniform trousers."
"A navy blazer-style school uniform with structured lines, paired with gray uniform slacks."
"A crisp black gakuran with polished gold buttons, worn with charcoal school-uniform trousers."
"A charcoal school blazer with a slim collar, paired with navy uniform trousers in a straight tailored fit."
"A black school-uniform gakuran top with subtle seam lines, matched with dark-gray trousers."
"A navy blazer uniform jacket worn over a soft white shirt, paired with matching navy slacks."
"A fitted black school gakuran with clean collar shaping, matched with charcoal uniform pants."
"A structured dark-gray school blazer with a white shirt underneath, paired with slim gray trousers."
"A classic black gakuran top with understated matte buttons, worn with deep-gray uniform trousers."
"A navy school-uniform blazer with a neat lapel, paired with charcoal tailored pants."
"A charcoal school blazer paired with a pressed white shirt, matched with black uniform trousers."
"A fitted black gakuran with smooth front paneling, worn with charcoal uniform pants."
"A navy blazer school uniform with a white shirt and clean silhouette, paired with navy trousers."
"A black school-uniform gakuran with polished detailing, matched with dark-gray school trousers."
"A structured charcoal school blazer with subtle texture, paired with gray uniform pants."
"A classic black gakuran-style school jacket with gold buttons, worn with charcoal straight-leg trousers."
"A navy school blazer with sharper shoulders, paired with matching navy uniform trousers."
"A fitted black gakuran school top with a slim collar, matched with gray uniform slacks."
"A dark-gray blazer uniform jacket worn over a crisp shirt, paired with charcoal trousers."
"A black gakuran with smooth matte fabric and gold accents, worn with navy uniform slacks."
"A navy blazer school uniform with a simple white shirt underneath, paired with charcoal pressed trousers."
"A black school gakuran with polished buttons and structured seams, matched with dark-gray pants."
"A charcoal school blazer with clean lines, paired with navy uniform trousers."
"A classic black gakuran uniform jacket with gold buttons, worn with black straight-leg trousers."
A navy school blazer with subtle texture paired with gray uniform slacks.
"A fitted black gakuran with a neatly shaped collar, matched with charcoal uniform trousers."
"A dark-gray school blazer layered over a white shirt, paired with navy school pants."
"A black school-uniform gakuran with a smooth structured torso, worn with charcoal trousers."
"A navy blazer with clean formal lines, matched with black uniform pants."
"A charcoal school blazer with crisp seams and a fitted shape, paired with gray uniform trousers."
"A sleek black gakuran school jacket with matte buttons, worn with deep-gray uniform slacks."
"A fitted navy school blazer with structured shoulders and clean lapels, paired with charcoal uniform trousers."
