prompt
"A fitted charcoal crew-neck T-shirt with rolled short sleeves and soft-stretch cotton, paired with light-wash denim shorts that sit above the knee with a subtle frayed hem."
"A white slim-fit ribbed tank top with broad shoulder straps and a low scoop neckline, matched with tan chino shorts cut a few inches above the knee."
"A dusty-blue lightweight short-sleeve henley with three buttons left casually undone, worn with black athletic-fit shorts in smooth woven fabric."
"A fitted sage-green cotton tee with a slightly curved hem and snug sleeves, paired with medium-wash denim jeans in a tapered cut."
"A soft cream short-sleeve button-up shirt worn open over a fitted black tank, matched with charcoal drawstring shorts ending just above the knee."
"A maroon athletic-fit crew tee with a subtle ribbed neckline, paired with light-gray jogger shorts with a tailored upper thigh fit."
"A navy sleeveless muscle shirt with a high crew neck and clean armhole finish, worn with light-khaki chino shorts."
"A fitted white V-neck tee with soft cotton texture, matched with black slim-fit jeans with gentle fading at the thighs."
"A soft olive-green short-sleeve henley with two open buttons, paired with medium-wash denim shorts with a folded cuff."
"A charcoal fitted tank top with wider straps and ribbed fabric, worn with dusty-blue athletic shorts that skim mid-thigh."
"A cream short-sleeve linen-blend shirt left unbuttoned over a fitted sage tee, matched with light-wash jeans in a slimmer cut."
"A navy fitted short-sleeve tee with rolled cuffs and a square hem, paired with tan cotton shorts ending above the knee."
"A pale-gray slim-fit tank with a low scoop neckline, worn with charcoal athletic shorts in smooth knit fabric."
"A fitted black crew-neck T-shirt with crisp stitching, matched with medium-wash denim jeans in a tapered modern cut."
"A muted-pink cotton tee with a relaxed scoop neckline and fitted torso, paired with light-tan chino shorts."
"A white sleeveless athletic top with rib-knit edges, worn with dusty-gray woven shorts that sit mid-thigh."
"A soft forest-green short-sleeve tee with structured shoulders, paired with black denim jeans in a close-knee cut."
"A fitted sky-blue henley with two undone buttons, matched with light-gray jersey shorts with a neat hem."
"A charcoal rib-knit tank with a square neckline, worn with medium-wash denim shorts that fall above mid-thigh."
"A cream fitted short-sleeve tee with a curved hem, paired with black tapered joggers in smooth jersey."
"A white cotton sleeveless tee with wide-cut armholes, matched with dusty-blue woven shorts ending above the knee."
"A soft oatmeal V-neck tee with a slim fit, worn with dark-wash jeans with light whiskering."
"A muted-sage crew-neck athletic tee with a slight sheen, paired with charcoal mid-thigh workout shorts."
"A pale-blue short-sleeve button-up worn open over a fitted white tank, matched with tan slim-fit shorts."
"A fitted charcoal tee with rolled sleeves, paired with medium-wash denim jeans in a relaxed-slim silhouette."
"A creamy ribbed tank with a higher neckline, worn with black athletic shorts that hit just above the knee."
"A navy cotton tee with a curved athletic hem, matched with dusty-gray chino shorts."
"A soft salmon crew-neck fitted tee, paired with light-wash denim jeans in a narrow tapered cut."
"A white sleeveless muscle shirt with tight ribbing at the edges, worn with charcoal jogger shorts."
"A fitted olive T-shirt with rolled sleeves and subtle heathering, paired with light-khaki shorts ending just above the knee."
"A soft gray scoop-neck tee with a slim torso cut, matched with black denim jeans."
"A charcoal sleeveless athletic-cut top, worn with dusty-green woven shorts."
"A white fitted tee with a neat crew neckline and short sleeves, paired with medium-wash denim shorts."
"A pale-lavender cotton tee with a relaxed but tapered torso, matched with charcoal slim-fit jogger pants."
"A navy rib-knit tank with thicker straps, worn with light-gray jersey shorts with a clean stitched hem."
"A forest-green fitted tee with a shallow V-neck, paired with washed-black jeans cut narrow through the leg."
"A cream open short-sleeve shirt over a fitted charcoal tank, matched with dusty-blue chino shorts."
"A soft peach crew tee with a curved hemline, worn with medium-wash denim jeans."
"A charcoal fitted tank with a textured knit, paired with pale-sage athletic shorts."
"A white cotton henley with one button undone, matched with dark-gray tapered joggers."
"A sky-blue fitted tee with rolled sleeves, paired with light-tan woven shorts ending mid-thigh."
"A soft gray athletic tank with wider armholes, worn with black denim shorts."
