prompt
"A classic Japanese school uniform with a white short-sleeve blouse and a navy sailor-style collar, paired with a neatly pleated navy skirt sitting at the natural waist."
"A white school-uniform blouse with pale-blue trim at the collar, matched with a charcoal pleated skirt with crisp folds."
"A sailor-style school uniform top with a deep navy collar panel and matching front tie, worn with a navy pleated skirt."
"A white school-uniform blouse with a rounded collar and a small navy ribbon, paired with a dark-gray pleated skirt."
"A pale-blue school-uniform button-up with a structured collar, matched with a deep-green pleated skirt at mid-thigh."
"A traditional sailor-style school uniform with a white blouse, navy collar, and front tie, paired with a matching navy pleated skirt."
"A soft cream school-uniform blouse with short sleeves and a modest collar bow, worn with a charcoal pleated skirt with sharp pleats."
"A lightweight white school blouse with a simple pointed collar, paired with a navy pleated skirt sitting neatly at the waist."
"A crisp white sailor-style school uniform top with navy trim, worn with a dark-blue pleated skirt with clean structured folds."
"A white school blouse with pale-pink collar ribbon detailing, matched with a soft charcoal pleated skirt."
"A short-sleeve school uniform blouse with a navy tie at the chest, paired with a deep-gray pleated skirt."
"A classic white school blouse with subtle navy edging at the collar, matched with a navy pleated skirt falling to mid-thigh."
"A soft white school blouse with a neatly tied red ribbon, worn with a navy pleated skirt with pressed pleats."
"A structured white school-uniform button-up with short sleeves, paired with a charcoal pleated skirt."
"A white sailor-style school uniform blouse with navy collar stripes, matched with a deep-navy pleated skirt."
"A subtle cream school-uniform blouse with a navy ribbon at the collar, paired with a forest-green pleated skirt."
"A white short-sleeve school blouse with a rounded collar, worn with a navy pleated skirt with crisp folds."
"A classic white sailor-style school blouse with navy trim and front tie, matched with a charcoal pleated skirt."
"A light-blue school-uniform blouse with a soft collar bow, worn with a navy pleated skirt shaped neatly at the waist."
"A white fitted school blouse with a modest pointed collar, paired with a dark-gray pleated skirt."
"A standard white sailor-style school top with navy collar panel, matched with a navy pleated skirt."
"A white school blouse with short sleeves and a slim burgundy bow, paired with a charcoal pleated skirt."
"A pale-cream school uniform shirt with simple collar detailing, worn with a dark-navy pleated skirt."
"A clean white school blouse with navy piping at the collar, matched with a gray pleated skirt."
"A white sailor-style blouse with crisp navy collar stripes, paired with a deep-blue pleated skirt."
"A soft white school blouse with a neatly tied navy ribbon, matched with a charcoal pleated skirt."
"A light-blue school-uniform shirt with short sleeves, worn with a navy pleated skirt shaped cleanly at the waist."
"A classic white school blouse with a pointed collar and ribbon tie, paired with a dark-gray pleated skirt."
"A white sailor-style school uniform top with navy detailing, matched with a matching navy pleated skirt."
"A white school blouse with a soft collar bow in navy, worn with a charcoal pleated skirt."
"A pale-blue school blouse with subtle trim, matched with a navy pleated skirt."
"A crisp white school-uniform shirt with a modest collar and red ribbon, paired with a deep-gray pleated skirt."
"A white sailor-style top with navy stripes and front tie, worn with a deep-navy pleated skirt."
"A white school blouse with short sleeves and a simple navy bow, paired with a forest-green pleated skirt."
"A structured white school uniform button-up, worn with a charcoal pleated skirt with neat folds."
"A classic sailor-style school top with navy collar and bow, matched with a navy pleated skirt."
"A white school-uniform blouse with soft curved collar, paired with a navy pleated skirt sitting mid-thigh."
"A pale-blue school blouse with short sleeves, worn with a charcoal pleated skirt with sharp pleats."
"A traditional white sailor-style school top with navy panel and ribbon tie, paired with a deep-blue pleated skirt."
"A white school blouse with navy piping and a slim bow, matched with a dark-gray pleated skirt."
"A cream school-uniform blouse with a navy collar ribbon, worn with a navy pleated skirt."
"A white short-sleeve school blouse with a modest collar and navy trim, paired with a charcoal pleated skirt."
"A white sailor-style school top with deep-navy collar and matching tie, worn with a navy pleated skirt."
"A crisp pale-blue school shirt with a small ribbon bow, paired with a navy pleated skirt."
"A simple white school-uniform blouse with a clean pointed collar, matched with a forest-green pleated skirt."
"A white school blouse with soft trim, worn with a charcoal pleated skirt pressed neatly down the front."
"A sailor-style school uniform top with white fabric and navy collar striping, paired with a deep-blue pleated skirt."
"A soft cream school blouse with a navy tie at the collar, matched with a charcoal pleated skirt."
"A crisp white school blouse with a subtle collar ribbon, worn with a navy pleated skirt."
"A pressed white school blouse with a structured collar and short sleeves, paired with a slate-gray pleated skirt."
