prompt
"a strappy sports bra in bright coral with crisscross back, high-waisted black leggings with side mesh panels, fitted close"
"a cropped performance tank in heather gray, bike shorts in dusty rose with hidden pockets, snug fit"
"a moisture-wicking tee in electric blue with reflective strips, 7/8 length leggings in black with compression fit"
"a longline sports bra in navy with racerback design, matching high-waisted leggings with four-way stretch"
"a relaxed muscle tank in sage mesh overlay, athletic shorts in charcoal with liner and side pockets, loose fit"
"a fitted tank in black with racerback detail, high-waisted burgundy leggings with zippered pocket"
"a cropped tee in lavender with side slits, bike shorts in navy with compression fabric"
"a strappy sports bra in white with adjustable straps, full-length leggings in olive with mesh panels at calves"
"a performance tank in deep teal with built-in shelf bra, running shorts in black with liner, breathable fit"
"a longline sports bra in dusty rose with cut-out back, matching 7/8 leggings with hidden waistband pocket"
"a relaxed tee in charcoal with dropped shoulders, high-waisted athletic shorts in heather gray"
"a cropped sports bra in electric blue with wide straps, full-length black leggings with reflective details"
"a muscle tank in burgundy with deep armholes, bike shorts in charcoal with four-way stretch"
"a fitted performance tee in sage with moisture-wicking fabric, 7/8 leggings in black with side pockets"
"a strappy sports bra in navy with racerback, running shorts in bright coral with built-in briefs"
"a longline tank in white with mesh panels, high-waisted leggings in deep teal with compression zones, breathable set"
"a cropped hoodie in heather gray with half-zip, matching joggers in heather gray with tapered ankles, cozy athletic"
"a sports bra in lavender with strappy detail, full-length leggings in lavender with mesh inserts"
"a fitted tank in olive with built-in bra, bike shorts in black with high-waisted band"
"a performance tee in bright coral with raglan sleeves, 7/8 leggings in charcoal with zippered pockets"
"a strappy sports bra in black with gold hardware, athletic shorts in navy with side slits"
"a cropped tank in dusty rose with twist-back detail, full-length leggings in burgundy with flat seams, feminine athletic"
"a muscle tank in electric blue with dropped armholes, running shorts in white with reflective strips, bright fit"
"a longline sports bra in sage with racerback, matching high-waisted leggings with four-way stretch, natural coordinated set"
"a relaxed tee in navy with side vents, bike shorts in deep teal with compression fit"
"a fitted sports bra in charcoal with mesh detail, 7/8 leggings in black with hidden pockets"
"a cropped performance tank in burgundy, athletic shorts in heather gray with drawstring"
"a strappy sports bra in white with crisscross straps, full-length leggings in olive with mesh panels, clean athletic"
"a longline tank in lavender with built-in shelf bra, running shorts in lavender with liner"
"a muscle tank in bright coral with racerback, bike shorts in black with wide waistband"
"a performance tee in sage with moisture-wicking fabric, high-waisted leggings in charcoal with reflective details"
"a sports bra in deep teal with adjustable straps, 7/8 leggings in navy with compression zones"
"a cropped tank in heather gray with twist front, athletic shorts in burgundy with pockets"
