prompt
solid navy athletic swim shorts with a streamlined mid-thigh cut and smooth contour seams
charcoal-gray swim trunks with subtle panel detailing and a clean structured fit
solid black performance swim shorts with minimal seams and a sleek mid-thigh profile
deep forest-green swim trunks with clean contour lines and a smooth woven finish
slate-blue athletic swim shorts with a clean silhouette and structured waistband
solid burgundy swim trunks with smooth side paneling and streamlined shape
navy-and-gray colorblock swim shorts with athletic mid-thigh cut
solid teal swim trunks with simple contour seams and a clean fit
charcoal streamlined swim shorts with muted piping and smooth construction
soft sky-blue swim trunks with minimal paneling and streamlined silhouette
deep plum athletic swim shorts with fitted mid-thigh shape
solid olive-green swim trunks with clean seams and a matte woven finish
muted steel-gray swim shorts with smooth contour panel and structured shape
solid black sleek swim shorts with simple athletic stretch and minimal seams
navy performance swim trunks with subtle charcoal piping
solid pale-mint swim shorts with clean contours and smooth finish
slate-and-black athletic swim shorts with fitted mid-thigh shape
solid coral-red swim trunks with clean side seams and smooth woven fabric
deep sapphire-blue swim shorts with subtle contouring and structured fit
"board shorts in navy with white side stripes, quick-dry polyester, elastic waistband with drawstring, hitting just above the knee, mesh liner"
"swim trunks in bright tropical floral print, lightweight fabric with side pockets and back zippered pocket, mid-thigh length"
"solid black board shorts with subtle texture, drawstring closure, side seam pockets, hitting at the knee"
"geometric patterned swim trunks in orange and navy color-block, quick-dry fabric, elastic waistband, shorter length hitting mid-thigh"
"olive hybrid swim shorts with cargo pocket detail, versatile quick-dry fabric, adjustable drawstring, longer length past the knee"
"solid burgundy swim trunks with mesh liner, elastic waistband and drawstring, hitting above knee, classic beach style"
"board shorts in electric blue with black side panels, quick-dry boardshort material, velcro back pocket, at-knee length"
"tropical palm print swim trunks in navy and green, lightweight stretch fabric, side and back pockets, mid-thigh"
"charcoal board shorts with white contrast stitching, quick-dry polyester, adjustable drawstring and side pockets, hitting just above knee"
"swim trunks in yellow with geometric tribal pattern, quick-dry fabric with mesh liner, elastic waistband, mid-thigh length"
"solid navy board shorts with clean lines, quick-dry boardshort material, side seam pockets and back zippered pocket, at-knee length"
"color-block swim trunks in coral and white, lightweight stretch fabric, drawstring waist and side pockets, shorter mid-thigh cut"
"board shorts in forest green with subtle texture, quick-dry fabric, elastic waistband with cord drawstring, hitting above knee"
"swim trunks in bold stripe pattern (navy, white, red), quick-dry polyester with mesh liner, side pockets, mid-thigh length"
"black board shorts with neon green side stripe, boardshort material, velcro closure and pockets, at-knee length"
"tropical sunset print swim trunks in orange and pink tones, lightweight fabric, elastic waist and back pocket, mid-thigh"
"solid charcoal hybrid swim shorts, versatile quick-dry fabric, cargo pockets and drawstring, longer length past knee"
"swim trunks in turquoise with white wave pattern, stretch fabric with mesh liner, elastic waistband, mid-thigh length"
"board shorts in burgundy with black panels, quick-dry boardshort material, side pockets and velcro back pocket, at-knee length"
"geometric aztec print swim trunks in earth tones, quick-dry fabric, drawstring waist and side pockets, mid-thigh"
"solid royal blue board shorts, quick-dry polyester, elastic waistband with drawstring, hitting above knee"
"swim trunks in hot pink with tropical leaf print, lightweight fabric with mesh liner, elastic waist, shorter mid-thigh cut"
"navy board shorts with orange side stripes, boardshort material, side seam pockets and back zipper, at-knee length"
"color-block swim trunks in lime green and charcoal, quick-dry fabric, adjustable drawstring, mid-thigh length"
"solid olive board shorts with matte finish, quick-dry polyester, cargo pocket detail and drawstring, longer length"
"swim trunks in retro 80s geometric pattern (teal, pink, yellow), stretch fabric, elastic waistband and pockets, mid-thigh"
"black board shorts with white contrast piping, boardshort material, velcro closure and side pockets, at-knee length"
"tropical fish print swim trunks in bright multi-colors, lightweight quick-dry fabric, mesh liner and back pocket, mid-thigh"
"solid burgundy board shorts, quick-dry boardshort material, elastic waistband with drawstring and side pockets, above knee length"
"swim trunks in navy with anchor and rope print, quick-dry fabric, drawstring waist and side pockets, mid-thigh"
"charcoal hybrid swim shorts with zippered pockets, versatile quick-dry material, adjustable waist, longer length past knee"
"color-block board shorts in electric blue and black, boardshort material, velcro back pocket, at-knee length"
"swim trunks in coral with white palm tree silhouettes, lightweight fabric with mesh liner, elastic waistband, mid-thigh"
"solid forest green board shorts, quick-dry polyester, side seam pockets and drawstring, hitting above knee"
"geometric diamond print swim trunks in burgundy and navy, stretch fabric, elastic waist and back pocket, mid-thigh length, patterned"
"black board shorts with neon orange accents, boardshort material, side pockets and velcro closure, at-knee length"
"tropical monstera leaf print swim trunks in green tones, quick-dry fabric, drawstring waist and pockets, mid-thigh"
"solid royal blue swim trunks, lightweight stretch fabric with mesh liner, elastic waistband, shorter mid-thigh cut"
"board shorts in navy with red and white stripe detail, quick-dry boardshort material, pockets and drawstring, at-knee length"
"color-block swim trunks in yellow and charcoal, quick-dry fabric, adjustable waist and side pockets, mid-thigh"
"olive hybrid swim shorts with multiple pockets, versatile quick-dry material, drawstring closure, longer length, utility focused"
"swim trunks in sunset gradient (orange to pink), stretch fabric with mesh liner, elastic waistband, mid-thigh length"
"solid charcoal board shorts with subtle texture, boardshort material, side and back pockets, at-knee length"
"tropical toucan print swim trunks in bright colors, lightweight quick-dry fabric, drawstring waist, mid-thigh"
"board shorts in burgundy with black side panels, quick-dry polyester, velcro closure and pockets, hitting above knee"
"geometric hexagon pattern swim trunks in teal and navy, stretch fabric, elastic waistband and back pocket, mid-thigh"
"solid black board shorts, classic boardshort material, side seam pockets and drawstring, at-knee length"
"swim trunks in hot pink with black palm shadows, quick-dry fabric with mesh liner, elastic waist, shorter mid-thigh cut"
"navy board shorts with lime green side stripes, boardshort material, pockets and velcro back closure, at-knee length"
"color-block swim trunks in electric blue and white, lightweight fabric, drawstring waist and side pockets, mid-thigh, clean modern"
"solid olive board shorts with cargo pocket, quick-dry polyester, adjustable drawstring, longer length past knee"
"retro wave pattern swim trunks in purple and teal, stretch fabric, elastic waistband and pockets, mid-thigh, 80s vibes"
"black board shorts with red contrast stitching, boardshort material, side pockets and velcro closure, at-knee length"
"tropical pineapple print swim trunks in yellow and green, quick-dry fabric, mesh liner and back pocket, mid-thigh"
"solid burgundy board shorts, quick-dry boardshort material, elastic waistband with drawstring, hitting above knee"
"swim trunks in navy with white sailboat print, lightweight fabric with mesh liner, elastic waist and pockets, mid-thigh"
"charcoal hybrid swim shorts with contrast stitching, versatile quick-dry material, multiple pockets and drawstring, longer length"
"color-block board shorts in coral and navy, boardshort material, velcro back pocket and side pockets, at-knee length"
"swim trunks in turquoise with white hibiscus flowers, quick-dry fabric, drawstring waist and back pocket, mid-thigh"
"solid forest green board shorts with matte finish, quick-dry polyester, side seam pockets, hitting above knee"
"geometric tribal print swim trunks in earth tones (brown, orange, cream), stretch fabric, elastic waistband, mid-thigh"
"black board shorts with neon yellow accents, boardshort material, pockets and velcro closure, at-knee length"
"tropical parrot print swim trunks in bright multi-colors, lightweight quick-dry fabric, mesh liner, mid-thigh"
"solid royal blue board shorts, quick-dry boardshort material, elastic waistband with drawstring and pockets, above knee length"
"swim trunks in hot pink with geometric shapes, stretch fabric with mesh liner, elastic waist, shorter mid-thigh cut"
"navy board shorts with white side panels, boardshort material, side and back pockets, at-knee length, classic two-tone"
"color-block swim trunks in lime green and black, quick-dry fabric, drawstring waist and side pockets, mid-thigh"
"olive hybrid swim shorts with zippered cargo pockets, versatile quick-dry material, adjustable waist, longer length"
"swim trunks in ombre blue gradient, lightweight fabric with mesh liner, elastic waistband, mid-thigh length"
"solid charcoal board shorts, boardshort material, side seam pockets and drawstring, at-knee length"
"tropical flamingo print swim trunks in pink and white, quick-dry fabric, drawstring waist and back pocket, mid-thigh"
"board shorts in burgundy with charcoal panels, quick-dry polyester, velcro closure and pockets, hitting above knee"
"geometric maze pattern swim trunks in teal and black, stretch fabric, elastic waistband, mid-thigh, intricate design"
"solid black board shorts with mesh side panels, boardshort material, pockets and drawstring, at-knee length, breathable athletic"
"swim trunks in sunset orange with palm tree silhouettes, quick-dry fabric with mesh liner, elastic waist, mid-thigh"
"navy board shorts with coral side stripes, boardshort material, side pockets and velcro back, at-knee length"
"color-block swim trunks in electric blue and charcoal, lightweight fabric, drawstring waist and pockets, mid-thigh"
"solid olive board shorts, quick-dry polyester with matte finish, adjustable drawstring and cargo pocket, longer length, utility green"
"retro checker pattern swim trunks in black and white, stretch fabric, elastic waistband and back pocket, mid-thigh"
"black board shorts with white palm tree print, boardshort material, side seam pockets and velcro, at-knee length, contrast tropical"
"tropical coconut and leaf print swim trunks in brown and green, quick-dry fabric, mesh liner and drawstring, mid-thigh"
"solid burgundy board shorts, quick-dry boardshort material, elastic waistband with drawstring, hitting above knee"
"swim trunks in navy with white anchor pattern, lightweight fabric with mesh liner, elastic waist and pockets, mid-thigh"
"charcoal hybrid swim shorts with reflective details, versatile quick-dry material, zippered pockets and drawstring, longer length"
"color-block board shorts in turquoise and black, boardshort material, velcro closure and side pockets, at-knee length"
"swim trunks in coral with white surfboard print, quick-dry fabric, drawstring waist and back pocket, mid-thigh"
"solid forest green board shorts, quick-dry polyester, side seam pockets and drawstring, hitting above knee"
"geometric wave pattern swim trunks in blue gradient, stretch fabric with mesh liner, elastic waistband, mid-thigh"
"black board shorts with neon pink accents, boardshort material, pockets and velcro closure, at-knee length"
"tropical banana leaf print swim trunks in green tones, lightweight quick-dry fabric, drawstring waist, mid-thigh"
"solid royal blue board shorts, quick-dry boardshort material, elastic waistband with drawstring and pockets, above knee"
"swim trunks in hot pink with black geometric lines, stretch fabric with mesh liner, elastic waist, shorter mid-thigh cut"
"navy board shorts with yellow side stripes, boardshort material, side and back pockets, at-knee length, bright sporty contrast"
"color-block swim trunks in lime green and navy, quick-dry fabric, drawstring waist and side pockets, mid-thigh, fresh athletic"
"olive hybrid swim shorts with button cargo flaps, versatile quick-dry material, adjustable waist, longer length past knee"
"swim trunks in gradient purple to blue, lightweight fabric with mesh liner, elastic waistband, mid-thigh length"
"solid charcoal board shorts with contrast waistband, boardshort material, side pockets and drawstring, at-knee length, subtle detail"
"tropical seahorse and coral print swim trunks in teal and orange, quick-dry fabric, drawstring waist and back pocket, mid-thigh"
"board shorts in burgundy with black mesh panels, quick-dry polyester, velcro closure and pockets, hitting above knee, breathable athletic"
"geometric chevron pattern swim trunks in navy and white, stretch fabric, elastic waistband and pockets, mid-thigh"
"solid black board shorts, classic boardshort material, side seam pockets and adjustable drawstring, at-knee length"
"swim trunks in electric blue with black lightning bolts, quick-dry fabric with mesh liner, elastic waist, mid-thigh"
"navy board shorts with orange contrast stitching, boardshort material, side pockets and velcro back, at-knee length"
"color-block swim trunks in coral and white, lightweight fabric, drawstring waist and side pockets, mid-thigh"
"solid olive board shorts with cargo pocket and tool loop, quick-dry polyester, adjustable drawstring, longer length"
"retro sunset stripe swim trunks in orange, pink, and yellow, stretch fabric, elastic waistband, mid-thigh"
"black board shorts with red side panels, boardshort material, pockets and velcro closure, at-knee length, bold athletic contrast"
"tropical macaw bird print swim trunks in bright rainbow colors, quick-dry fabric, mesh liner and drawstring, mid-thigh"
